"title","author","alt_titles","year","series","is_omnibus","contained_titles","spine_color","spine_hex"
"Harry Potter and the Philosopher's Stone","J.K. Rowling","Harry Potter and the Sorcerer's Stone","1997","Harry Potter","false","","",""
"The Casual Vacancy","J. K. Rowling","","2012","","false","","",""
"The Lord of the Rings","J.R.R. Tolkien","","1955","Middle-earth","true","The Fellowship of the Ring|The Two Towers|The Return of the King","",""
"The Fellowship of the Ring","J.R.R. Tolkien","","1954","Middle-earth","false","","",""
"The Two Towers","J.R.R. Tolkien","","1954","Middle-earth","false","","",""
"The Return of the King","J.R.R. Tolkien","","1955","Middle-earth","false","","",""
"The Hobbit","J.R.R. Tolkien","The Hobbit, or There and Back Again","1937","Middle-earth","false","","",""
"The Hitchhiker's Guide to the Galaxy","Douglas Adams","","1979","Hitchhiker's Guide","false","","",""
"The Restaurant at the End of the Universe","Douglas Adams","","1980","Hitchhiker's Guide","false","","",""
"Life, the Universe and Everything","Douglas Adams","","1982","Hitchhiker's Guide","false","","",""
"The Ultimate Hitchhiker's Guide to the Galaxy","Douglas Adams","The Hitchhiker's Guide to the Galaxy: The Complete Trilogy in Five Parts","2002","Hitchhiker's Guide","true","The Hitchhiker's Guide to the Galaxy|The Restaurant at the End of the Universe|Life, the Universe and Everything|So Long and Thanks for All the Fish|Mostly Harmless","",""
"One Hundred Years of Solitude","Gabriel García Márquez","Cien años de soledad","1967","","false","","",""
"Love in the Time of Cholera","Gabriel Garcia Marquez","","1985","","false","","",""
"The Power","Naomi Alderman","","2016","","false","","",""
"The Power","Rhonda Byrne","","2010","The Secret","false","","",""
"The Secret","Rhonda Byrne","","2006","The Secret","false","","",""
"The Secret","Julie Garwood","","1992","","false","","",""
"Gone Girl","Gillian Flynn","","2012","","false","","",""
"The Girl with the Dragon Tattoo","Stieg Larsson","Man som hatar kvinnor","2005","Millennium","false","","",""
"Where the Crawdads Sing","Delia Owens","","2018","","false","","",""
"Atomic Habits","James Clear","","2018","","false","","",""
"Sapiens: A Brief History of Humankind","Yuval Noah Harari","Sapiens","2011","","false","","",""
"Educated","Tara Westover","Educated: A Memoir","2018","","false","","",""
"Becoming","Michelle Obama","","2018","","false","","",""
"The Alchemist","Paulo Coelho","O Alquimista","1988","","false","","",""
"The Da Vinci Code","Dan Brown","","2003","Robert Langdon","false","","",""
"Angels & Demons","Dan Brown","","2000","Robert Langdon","false","","",""
"The Hunger Games","Suzanne Collins","","2008","The Hunger Games","false","","",""
"Catching Fire","Suzanne Collins","","2009","The Hunger Games","false","","",""
"Mockingjay","Suzanne Collins","","2010","The Hunger Games","false","","",""
"The Girl on the Train","Paula Hawkins","","2015","","false","","",""
"Big Little Lies","Liane Moriarty","","2014","","false","","",""
"The Silent Patient","Alex Michaelides","","2019","","false","","",""
"Circe","Madeline Miller","","2018","","false","","",""
"The Song of Achilles","Madeline Miller","","2011","","false","","",""
"Normal People","Sally Rooney","","2018","","false","","",""
"A Little Life","Hanya Yanagihara","","2015","","false","","",""
"The Kite Runner","Khaled Hosseini","","2003","","false","","",""
"Life of Pi","Yann Martel","","2001","","false","","",""
"The Road","Cormac McCarthy","","2006","","false","","",""
"No Country for Old Men","Cormac McCarthy","","2005","","false","","",""
"American Gods","Neil Gaiman","","2001","","false","","",""
"Good Omens","Neil Gaiman and Terry Pratchett","","1990","","false","","",""
"The Name of the Wind","Patrick Rothfuss","","2007","The Kingkiller Chronicle","false","","",""
"Mistborn: The Final Empire","Brandon Sanderson","Mistborn","2006","Mistborn","false","","",""
"The Way of Kings","Brandon Sanderson","","2010","The Stormlight Archive","false","","",""
"A Game of Thrones","George R. R. Martin","","1996","A Song of Ice and Fire","false","","",""
"A Clash of Kings","George R. R. Martin","","1998","A Song of Ice and Fire","false","","",""
"The Handmaid's Tale","Margaret Atwood","","1985","MaddAddam","false","","",""
"Slaughterhouse-Five","Kurt Vonnegut","","1969","","false","","",""
"Cat's Cradle","Kurt Vonnegut","","1963","","false","","",""
"The Catcher in the Rye","J.D. Salinger","","1951","","false","","",""
"To Kill a Mockingbird","Harper Lee","","1960","","false","","",""
"Pride and Prejudice","Jane Austen","","1813","","false","","",""
"The Great Gatsby","F. Scott Fitzgerald","","1925","","false","","",""
"Crime and Punishment","Fyodor Dostoevsky","Prestuplenie i nakazanie","1866","","false","","",""
"War and Peace","Leo Tolstoy","Voyna i mir","1869","","false","","",""
"The Art of War","Sun Tzu","","","","false","","red","#8C1A17"
"The 48 Laws of Power","Robert Greene","","1998","","false","","red","#B03A20"
"This Is Going to Hurt","Adam Kay","This Is Going to Hurt: Secret Diaries of a Junior Doctor","2017","","false","","yellow","#FCE153"
"And Then There Were None","Agatha Christie","Ten Little Indians","1939","","false","","black","#1C1A1B"
"The Thirteen Problems","Agatha Christie","The Tuesday Club Murders","1932","Miss Marple","false","","purple","#C59EC9"
